stock,day,sentiment
ACN,2020-05-13 00:00:00+00:00,-0.7096
ACN,2020-05-14 00:00:00+00:00,-0.8481
ACN,2020-05-18 00:00:00+00:00,0.0
ACN,2020-05-20 00:00:00+00:00,0.9393
ACN,2020-05-22 00:00:00+00:00,0.29436666666666667
ACN,2020-06-05 00:00:00+00:00,0.6705
ACNB,2019-04-18 00:00:00+00:00,0.0
ACNB,2019-04-22 00:00:00+00:00,0.0
ACNB,2019-04-30 00:00:00+00:00,0.0
ACNB,2019-07-02 00:00:00+00:00,0.0
ACNB,2019-10-30 00:00:00+00:00,0.0
ACNB,2020-01-28 00:00:00+00:00,0.0
ACNB,2020-02-06 00:00:00+00:00,0.0
ACNB,2020-02-28 00:00:00+00:00,-0.2023
ACNB,2020-03-12 00:00:00+00:00,-0.2023
ACNB,2020-04-29 00:00:00+00:00,0.0
ACOR,2020-03-12 00:00:00+00:00,-0.6597
ACOR,2020-03-18 00:00:00+00:00,0.2263
ACOR,2020-05-03 00:00:00+00:00,0.0
ACOR,2020-05-04 00:00:00+00:00,0.0
ACOR,2020-05-05 00:00:00+00:00,0.09809999999999999
ACOR,2020-05-06 00:00:00+00:00,-0.128
ACOR,2020-05-14 00:00:00+00:00,0.0
ACOR,2020-06-08 00:00:00+00:00,0.7906
ACP,2018-11-19 00:00:00+00:00,-0.2023
ACP,2018-11-20 00:00:00+00:00,-0.2732
ACP,2018-11-21 00:00:00+00:00,-0.2732
ACP,2018-11-23 00:00:00+00:00,-0.2732
ACP,2018-11-27 00:00:00+00:00,-0.2732
ACP,2018-11-28 00:00:00+00:00,-0.2732
ACP,2018-11-29 00:00:00+00:00,-0.2732
ACP,2018-12-17 00:00:00+00:00,-0.2732
ACP,2020-03-12 00:00:00+00:00,-0.2023
ACP,2020-03-19 00:00:00+00:00,-0.2023
ACPW,2016-04-26 00:00:00+00:00,0.22329999999999997
ACPW,2016-07-26 00:00:00+00:00,0.5335666666666666
ACPW,2016-09-30 00:00:00+00:00,0.60195
ACRE,2020-03-31 00:00:00+00:00,0.0
ACRE,2020-04-06 00:00:00+00:00,0.0
ACRE,2020-04-07 00:00:00+00:00,0.0
ACRE,2020-04-08 00:00:00+00:00,0.0
ACRE,2020-04-09 00:00:00+00:00,-0.3818
ACRE,2020-04-13 00:00:00+00:00,0.4215
ACRE,2020-04-22 00:00:00+00:00,0.1779
ACRE,2020-05-08 00:00:00+00:00,-0.11315
ACRX,2020-05-28 00:00:00+00:00,0.0
ACRX,2020-05-29 00:00:00+00:00,0.24695
ACRX,2020-06-01 00:00:00+00:00,0.34
ACRX,2020-06-02 00:00:00+00:00,-0.32985
ACRX,2020-06-03 00:00:00+00:00,0.0
ACRX,2020-06-04 00:00:00+00:00,0.5574
ACRX,2020-06-10 00:00:00+00:00,0.3612
ACSF,2015-11-02 00:00:00+00:00,0.3818
ACSF,2016-01-08 00:00:00+00:00,0.0
ACSF,2016-02-08 00:00:00+00:00,0.0
ACSF,2016-02-09 00:00:00+00:00,-0.128
ACSF,2016-08-03 00:00:00+00:00,0.0
ACSF,2017-05-10 00:00:00+00:00,0.0
ACSF,2017-08-08 00:00:00+00:00,0.5994
ACSF,2018-04-02 00:00:00+00:00,0.0
ACSF,2018-05-10 00:00:00+00:00,0.4477
ACST,2020-03-16 00:00:00+00:00,0.0
ACST,2020-03-18 00:00:00+00:00,0.2263
ACST,2020-03-19 00:00:00+00:00,-0.2023
ACST,2020-03-20 00:00:00+00:00,-0.1531
ACST,2020-03-27 00:00:00+00:00,0.8271
ACST,2020-04-01 00:00:00+00:00,-0.0772
ACST,2020-04-20 00:00:00+00:00,0.0258
ACST,2020-04-30 00:00:00+00:00,0.0
ACST,2020-05-06 00:00:00+00:00,-0.128
ACST,2020-05-19 00:00:00+00:00,0.0
ACT,2015-07-14 00:00:00+00:00,0.0
ACT,2015-08-03 00:00:00+00:00,0.0
ACT,2015-08-14 00:00:00+00:00,0.6808
ACT,2016-11-03 00:00:00+00:00,0.5267
ACT,2017-12-14 00:00:00+00:00,-0.5574
ACT,2019-01-30 00:00:00+00:00,0.0
ACT,2019-03-27 00:00:00+00:00,0.0
ACT,2019-04-17 00:00:00+00:00,0.4278
ACT,2019-04-21 00:00:00+00:00,0.0
ACT,2020-03-26 00:00:00+00:00,0.0
ACTA,2017-09-25 00:00:00+00:00,0.41135
ACTA,2017-09-26 00:00:00+00:00,0.187425
ACTA,2017-11-09 00:00:00+00:00,0.0
ACTA,2018-01-19 00:00:00+00:00,0.4019
ACTA,2018-01-24 00:00:00+00:00,0.0
ACTA,2018-02-02 00:00:00+00:00,0.296
ACTG,2020-05-26 00:00:00+00:00,0.0
ACTG,2020-06-03 00:00:00+00:00,0.148
ACTG,2020-06-04 00:00:00+00:00,0.0
ACTG,2020-06-05 00:00:00+00:00,0.11987999999999999
ACTG,2020-06-08 00:00:00+00:00,0.0
ACTS,2016-05-20 00:00:00+00:00,0.0
ACTS,2016-05-23 00:00:00+00:00,0.29286666666666666
ACTS,2016-05-26 00:00:00+00:00,0.0
ACTS,2016-08-16 00:00:00+00:00,0.0
ACTS,2016-09-12 00:00:00+00:00,0.0
ACU,2018-11-14 00:00:00+00:00,0.4215
ACU,2019-02-28 00:00:00+00:00,0.0772
